timestamp,cuenca,servicio,temp,rain,rain24h
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),alta,openmeteo,10.7,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),alta,openmeteo,10.7,0,0
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),alta,wunderground,10,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),alta,wunderground,10,0,0
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),alta,corrected,10.559999999999999,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),alta,corrected,10.448,0,0
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),media,openmeteo,10.9,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),media,openmeteo,10.9,0,0
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),media,wunderground,12,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),media,wunderground,12,0,0
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),media,corrected,11.120000000000001,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),media,corrected,11.296,0,0
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),baja,openmeteo,11,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),baja,openmeteo,11,0,0
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),baja,wunderground,12,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),baja,wunderground,12,0,0
Thu Jul 03 2025 12:49:45 GMT-0300 (hora estándar de Argentina),baja,corrected,11.2,0,0
Thu Jul 03 2025 12:50:30 GMT-0300 (hora estándar de Argentina),baja,corrected,11.36,0,0
